title,author,length
A Queen of Ruin,By: K.F. Breene,Length: 20 hrs and 44 mins
The Eighth Realm,By: Michael Chatfield,Length: 9 hrs and 16 mins
Meant to Be,By: Emily Giffin,Length: 11 hrs and 31 mins
The Power of One More,By: Ed Mylett,Length: 7 hrs and 30 mins
Dragon's Justice 3,By: Bruce Sentar,Length: 11 hrs and 4 mins
The Butcher's Masquerade,By: Matt Dinniman,Length: 23 hrs and 33 mins
Don't Let Me Fall,By: Kelsie Rae,Length: 9 hrs and 4 mins
Happy-Go-Lucky,By: David Sedaris,Length: 7 hrs and 30 mins
Gleam,By: Raven Kennedy,Length: 21 hrs and 1 min
American Royals III: Rivals,By: Katharine McGee,Length: 12 hrs and 32 mins
Not a Role Model,By: Lani Lynn Vale,Length: 5 hrs and 39 mins
Boyfriend Goals,By: Riley Hart,Length: 7 hrs and 38 mins
Equatorial,By: Ryan DeBruyn,Length: 13 hrs and 47 mins
The End of the World Is Just the Beginning,By: Peter Zeihan,Length: 16 hrs and 44 mins
Sparring Partners,By: John Grisham,Length: 9 hrs and 57 mins
Acyrologia,"By: Dennis Vanderkerken, Dakota Krout",Length: 12 hrs and 17 mins
Hitched,"By: Lucy Lennox, May Archer",Length: 11 hrs and 24 mins
Good Vibrations,By: Kayley Loring,Length: 7 hrs and 26 mins
Insight,By: Jay Boyce,Length: 13 hrs and 6 mins
The Detective,By: Anna Hackett,Length: 5 hrs and 44 mins
